# Simple Text Format
# Sampling Rate (Hz):= 100.00
# Resolution:= 0
# Units:= m/s^2
# Labels:= acc_x	acc_y	acc_z
0.28467	-0.88965	0.22266
0.24902	-0.92285	0.21533
0.29736	-0.95703	0.22021
0.3335	-0.89502	0.19531
0.27002	-0.91455	0.19043
0.31641	-0.90186	0.18604
0.33496	-0.8877	0.22168
0.33643	-0.83301	0.20068
0.34717	-0.80762	0.19385
0.31641	-0.81689	0.17871
0.31787	-0.85596	0.17041
0.34326	-0.90283	0.17969
0.30908	-0.94189	0.18604
0.31494	-0.97998	0.21436
0.29932	-0.96191	0.22998
0.3208	-0.90967	0.23535
0.32227	-0.86719	0.23389
0.33203	-0.79492	0.23486
0.35254	-0.74072	0.23535
0.3335	-0.72168	0.21631
0.3418	-0.72803	0.21875
0.34424	-0.75586	0.22803
0.3335	-0.80713	0.22168
0.3208	-0.86279	0.2417
0.31055	-0.92627	0.27246
0.31299	-0.92676	0.30664
0.31445	-0.94092	0.33447
0.31934	-0.95703	0.36084
0.31299	-0.92627	0.38086
0.30273	-0.88184	0.38525
0.29541	-0.83789	0.40869
0.29541	-0.80371	0.40332
0.29053	-0.7793	0.39307
0.25928	-0.77783	0.36426
0.24902	-0.76416	0.33154
0.25195	-0.77979	0.33789
0.23877	-0.80469	0.33203
0.28857	-0.82764	0.34473
0.29395	-0.8667	0.37109
0.34717	-0.89062	0.39746
0.31494	-0.92236	0.42285
0.35449	-0.9502	0.43408
0.36035	-0.95654	0.43066
0.35937	-0.98145	0.43604
0.32227	-0.94775	0.43018
0.34229	-0.99414	0.41309
0.3208	-0.95947	0.41162
0.31885	-0.96045	0.38818
0.33838	-0.95264	0.38232
0.35059	-0.95068	0.36963
0.35205	-0.93994	0.36719
0.38379	-0.98145	0.3833
0.40381	-0.99707	0.3916
0.40967	-1.01758	0.40186
0.42578	-1.04004	0.39355
0.40918	-1.01611	0.39111
0.4668	-1.08545	0.41211
0.4375	-1.03271	0.38574
0.45654	-1.02295	0.38574
0.45264	-0.99219	0.37158
0.45312	-0.99756	0.32861
0.43115	-1.07227	0.32764
0.45996	-1.16064	0.33936
0.46582	-1.17139	0.38037
0.44873	-1.19189	0.41162
0.43701	-1.17432	0.41211
0.41943	-1.11084	0.40479
0.40381	-1.02588	0.37061
0.42041	-0.97168	0.33398
0.41943	-0.93652	0.32666
0.43066	-0.90967	0.32959
0.41309	-0.90039	0.32959
0.41602	-0.90625	0.34521
0.40088	-0.9209	0.3335
0.39795	-0.95068	0.3291
0.39258	-1.00146	0.3374
0.39062	-1.03418	0.31689
0.38135	-1.07861	0.31982
0.35986	-1.09424	0.33545
0.36328	-1.09326	0.32324
0.354	-1.06689	0.32129
0.34229	-1.01904	0.31494
0.33301	-0.99316	0.30469
0.32227	-0.94727	0.29053
0.2998	-0.90283	0.27295
0.30029	-0.8623	0.271
0.30322	-0.84961	0.25098
0.29248	-0.82471	0.25537
0.2793	-0.79687	0.23389
0.29395	-0.80322	0.24561
0.27637	-0.80371	0.23389
0.28027	-0.78564	0.22852
0.2749	-0.79346	0.22949
0.271	-0.77197	0.23096
0.27979	-0.75049	0.23145
0.27637	-0.73437	0.2207
0.26025	-0.73193	0.22754
0.28271	-0.73193	0.21289
0.29492	-0.72363	0.18164
0.28174	-0.7373	0.18262
0.2749	-0.75049	0.19482
0.3042	-0.78125	0.20264
0.33789	-0.83105	0.16016
0.30078	-0.81006	0.18652
0.35449	-0.83691	0.12305
0.31299	-0.84229	0.19775
0.33057	-0.87744	0.19971
0.32715	-0.9375	0.20215
0.32324	-0.9585	0.21729
0.35693	-0.9292	0.229
0.38867	-0.91406	0.25244
0.38916	-0.89648	0.23828
0.38037	-0.87256	0.23047
0.3501	-0.8999	0.23242
0.36182	-0.9126	0.22217
0.35645	-0.98096	0.2334
0.36279	-1.02051	0.25781
0.3501	-1.04736	0.28564
0.36133	-1.0376	0.31104
0.36035	-0.99365	0.30811
0.35937	-0.94238	0.31006
0.34961	-0.86816	0.29785
0.35059	-0.81152	0.28174
0.36377	-0.75488	0.2666
0.34229	-0.7417	0.23877
0.34717	-0.74805	0.24268
0.36426	-0.77295	0.24414
0.35352	-0.80762	0.2583
0.34912	-0.84619	0.27979
0.37646	-0.89746	0.29346
0.38428	-0.9292	0.30029
0.38623	-0.95312	0.31396
0.39355	-0.95947	0.32812
0.36865	-0.94287	0.35205
0.36523	-0.9043	0.34717
0.30322	-0.87598	0.35645
0.30713	-0.84717	0.3335
0.2959	-0.81152	0.3418
0.29883	-0.80957	0.35693
0.28174	-0.79785	0.34473
0.28076	-0.7959	0.34521
0.30859	-0.82812	0.3374
0.31445	-0.84717	0.33545
0.3457	-0.86768	0.32861
0.35547	-0.88477	0.33105
0.35791	-0.88916	0.3291
0.39795	-0.9502	0.35059
0.3418	-0.94189	0.34961
0.39355	-0.91553	0.34131
0.3457	-0.91895	0.31885
0.35937	-0.9165	0.31348
0.34668	-0.89697	0.29004
0.36768	-0.89453	0.29004
0.35742	-0.87646	0.28369
0.35645	-0.89258	0.28906
0.37354	-0.93311	0.28076
0.38232	-0.97607	0.26025
0.38672	-1.02588	0.271
0.44873	-1.12354	0.29297
0.41943	-1.13525	0.28906
0.4458	-1.1499	0.28906
0.42676	-1.15967	0.30127
0.41797	-1.19482	0.28223
0.41748	-1.15283	0.26709
0.42139	-1.16846	0.22754
0.4082	-1.23193	0.21436
0.41357	-1.26074	0.24854
0.43262	-1.26025	0.26855
0.43896	-1.26416	0.31299
